iter	Passed	Remaining
935	7037	481
936	7044	473
937	7050	466
938	7058	458
939	7065	450
940	7072	443
941	7079	435
942	7086	428
943	7096	420
944	7104	413
945	7110	405
946	7117	398
947	7125	390
948	7132	383
949	7139	375
950	7148	368
951	7156	360
952	7162	353
953	7170	345
954	7178	338
955	7183	330
956	7190	323
957	7197	315
958	7204	308
959	7214	300
960	7221	293
961	7229	285
962	7237	278
963	7244	270
964	7251	263
965	7259	255
966	7267	248
967	7274	240
968	7281	232
969	7288	225
970	7295	217
971	7303	210
972	7311	202
973	7318	195
974	7326	187
975	7332	180
976	7341	172
977	7352	165
978	7363	157
979	7373	150
980	7382	142
981	7391	135
982	7400	127
983	7407	120
984	7415	112
985	7422	105
986	7429	97
987	7436	90
988	7442	82
989	7450	75
990	7457	67
991	7465	60
992	7473	52
993	7479	45
994	7487	37
995	7493	30
996	7500	22
997	7508	15
998	7514	7
999	7523	0
